Title,Release Date,Rating,Review,Recommendation
The Royal Hotel,2023,5.6,average,Not Recommended
On Body and Soul,2018,7.9,good,Recommended
24 Frames,2018,6.8,average,Recommended
God's Country,2022,4.9,bad,Not Recommended
Grass,2019,5.5,average,Not Recommended
"Apolonia, Apolonia",2024,6.8,average,Recommended
Babyteeth,2020,7.1,average,Recommended
Slalom,2021,5.6,average,Not Recommended
Human Nature,2020,6.3,average,Not Recommended
Inu-oh,2022,7.5,good,Recommended
Jockey,2021,4.6,bad,Not Recommended
The Feeling That the Time for Doing Something Has Passed,2024,3.9,bad,Not Recommended
The Promised Land,2024,7.2,average,Recommended
Incitement,2020,6.8,average,Recommended
Maestro,2023,6.0,average,Not Recommended
Relic,2020,6.1,average,Not Recommended
Thelma,2024,7.7,good,Recommended
Love Lies Bleeding,2024,6.0,average,Not Recommended
Girls State,2024,4.4,bad,Not Recommended
Suzume,2023,8.1,good,Recommended
Apples,2022,6.8,average,Recommended
Little Fish,2021,8.5,good,Recommended
Kneecap,2024,7.8,good,Recommended
The Hunt,2020,8.4,good,Recommended
Small Axe: Alex Wheatle,2020,6.1,average,Not Recommended
The Heiresses,2019,6.6,average,Recommended
The Mustang,2019,6.7,average,Recommended
Changing the Game,2021,2.2,bad,Not Recommended
The Amusement Park,2021,5.9,average,Not Recommended
Marlina the Murderer in Four Acts,2018,7.8,good,Recommended
The Wife,2018,7.2,average,Recommended
Miles Davis: Birth of the Cool,2019,7.9,good,Recommended
Promare,2019,8.8,good,Recommended
Leaning Into the Wind,2018,6.8,average,Recommended
Kandahar,2023,6.7,average,Recommended
